Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,118,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,01150000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,119,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01059000,"SMETS V2.0 ","GBCS Version 1.1 ",646713DCD57C7DB28414A63E2260ECBC2788D88D11FE7F1DC2BD59B7A0B0230A
Version 2.051 Issued on 21-09-2022,120,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,80230000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,121,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,000409FF,"SMETS V2.0 ","GBCS Version 1.1  ",E3265C86E7F6FC692B9BCB0D1E6AE726A2470C0510C0F002AD4130990483E5DC
Version 2.051 Issued on 21-09-2022,122,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00041000,"SMETS V2.0 ","GBCS Version 1.1  ",033963005CD8C27CF52178F0AA2B8EFA616CB41F5BC5056151FA1C9E184A9BBF
Version 2.051 Issued on 21-09-2022,123,Current,Single Element Electricity Metering Equipment,1063,0005,2,02,00050202,38030700,"SMETS V2.0 ","GBCS Version 1.1 ",A853869E80F57000058F2979B0F6B6A5AED97D95493967BB353ACCE42558DE33
Version 2.051 Issued on 21-09-2022,124,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00041001,"SMETS V2.0 ","GBCS Version 1.1  ",BD4867A8FA6603C0D7DCB6FAE5C1C2A4E8AE75B9D96D13F3C2B340E3E2849320
Version 2.051 Issued on 21-09-2022,125,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00041002,"SMETS V2.0 ","GBCS Version 1.1  ",BBD763FB1619A30BA3C038697CA7A5F59F3ABD8F2B85EC4CCEB9E1627F4B92C4
Version 2.051 Issued on 21-09-2022,126,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01059100,"SMETS V2.0 ","GBCS Version 1.1 ",8D689561B56D65AB6F4B2CE6F0FFB711A02BDC8561ECE181E4CBCDA49438961D
Version 2.051 Issued on 21-09-2022,127,Current,Single Element Electricity Metering Equipment,1057,0000,1,01,00000101,0130EC17,"SMETS V2.0 ",GBCS Version 1.1,E86E4C78F2CD5FC41C61BDAB3549D5C2D721B3E6C976EBD8B0AEC3A0330557A7
Version 2.051 Issued on 21-09-2022,128,Current,Communications Hub,106C,4331,0,AC,433100AC,125083AE,"CHTS V1.0 ",GBCS Version 1.1,1E39751CAF2A59E823D65CA8128A8C8737DDF0A39844E908E2939DC0309BAD83
Version 2.051 Issued on 21-09-2022,129,Current,Communications Hub,106C,4331,0,AC,433100AC,126094D0,"CHTS V1.0 ","GBCS Version 1.1 ",C945C73548DDD77A4C5FF665FBD64F20FD82F7301A26CDA8293151FE8FFB4A30
Version 2.051 Issued on 21-09-2022,130,Removed,Gas Smart Meter,1063,4772,1,01,47720101,03030244,"SMETS V2.0 ","GBCS Version 1.1 ",6321A1551E5F32A882EED00B1F0E2CD8273471A2EE37D916C53FF5F5C9193C0E
Version 2.051 Issued on 21-09-2022,131,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00080201,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,132,Current,Communications Hub,106C,4331,0,AD,433100AD,1260A11E,CHTS V1.0,"GBCS Version 1.1 ",1FA0E033D36E707AF2FD32B5E28FBB17ADC0695BFF320B38F1282E54A815261C
Version 2.051 Issued on 21-09-2022,133,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,802B0000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,134,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,01160000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,135,Current,Pre-Payment Interface Device,1090,0006,2,00,00060200,31010900,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,136,Current,Communications Hub,1072,5731,1,00,57310100,02130003,"CHTS V1.0 ","GBCS Version 1.1 ",E6C2C011E4351C85E607F1B5288F43A926E60F27B27447C8407E99CDDF32D268
Version 2.051 Issued on 21-09-2022,137,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030500,"SMETS V2.0 ","GBCS Version 1.1 ",B3357BD522E6C630666A006F0D0EBDD0FE6B9D1C5A74ACDA6F4472A58C03DD60
Version 2.051 Issued on 21-09-2022,138,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,802F0000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,139,Removed,Single Element Electricity Metering Equipment,1125,3132,40,34,31324034,11097714,SMETS V2.0,GBCS Version 1.1,972432A5CBE9EF817BC099C4DF61E1E54B553D6B90A0BB227FD4ADBC03FD5C75
Version 2.051 Issued on 21-09-2022,140,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00040A01,"SMETS V2.0 ","GBCS Version 1.1  ",BD4867A8FA6603C0D7DCB6FAE5C1C2A4E8AE75B9D96D13F3C2B340E3E2849320
Version 2.051 Issued on 21-09-2022,141,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00040A02,"SMETS V2.0 ","GBCS Version 1.1  ",BBD763FB1619A30BA3C038697CA7A5F59F3ABD8F2B85EC4CCEB9E1627F4B92C4
Version 2.051 Issued on 21-09-2022,142,Current,Gas Smart Meter,1063,4772,1,01,47720101,03030247,"SMETS V2.0 ","GBCS Version 1.1 ",DC46830F064EA13AB5966AAF37DFA1993111BEACF1F1F33084306F3BB6170593
Version 2.051 Issued on 21-09-2022,143,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B1E0000,"CHTS V1.0 ","GBCS Version 1.1  ",B75E7F91B65F1BE34C62E8BBF8B5B23482C7627373B101E5738F5F2556FF1E22
Version 2.051 Issued on 21-09-2022,144,Current,Communications Hub,1086,5432,20,52,54322052,0B1E0000,"CHTS V1.0 ","GBCS Version 1.1 ",B75E7F91B65F1BE34C62E8BBF8B5B23482C7627373B101E5738F5F2556FF1E22
Version 2.051 Issued on 21-09-2022,145,Current,Communications Hub,1086,5434,21,52,54342152,0B1E0000,"CHTS V1.0 ","GBCS Version 1.1 ",B75E7F91B65F1BE34C62E8BBF8B5B23482C7627373B101E5738F5F2556FF1E22
Version 2.051 Issued on 21-09-2022,146,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,0105A000,"SMETS V2.0 ","GBCS Version 1.1 ",22C2BE2F56E58ADF0EAA1F3D8B1E4D500EC04DD613775B4524B2B37841F9067B
Version 2.051 Issued on 21-09-2022,147,Current,Communications Hub,1072,5732,1,01,57320101,01070002,CHTS V1.1,GBCS Version 2.0,FBBB3ED5B6E3572A987BEE62D091DB66686843F5F41E1928E82DDA72DD06B67B
Version 2.051 Issued on 21-09-2022,148,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00050203,"SMETS V2.0 ","GBCS Version 1.1  ",53EDA321634B07FAB55743101AFAAAC7B596657C015FAEAB995BBE7EB77EA9BF
Version 2.051 Issued on 21-09-2022,149,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00050204,"SMETS V2.0 ","GBCS Version 1.1  ",0481FAF24793F8E6C22F2AC81E1C2094FCDE97B5C4DE6532DF807BA5D6460533
Version 2.051 Issued on 21-09-2022,150,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,01170000,SMETS V2.0,GBCS Version 1.1,
Version 2.051 Issued on 21-09-2022,151,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,80330000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,152,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030800,SMETS V2.0,GBCS Version 1.1,0C147EA5FA5BAE95CA1F7187CD5D727FC7D0A8AA5910E8446F9A03C495C74E82
Version 2.051 Issued on 21-09-2022,153,Removed,Single Element Electricity Metering Equipment,118F,0000,1,00,00000100,00050204,"SMETS V2.0 ","GBCS Version 1.1  ",106A57F5445E8B6DBF18CD767FA214E3F53C98DD53B1B9E0E96A8B0A97B849C2
Version 2.051 Issued on 21-09-2022,154,Current,Gas Smart Meter,106C,10F2,NaN,00,10F2A100,01089700,SMETS V2.0,GBCS Version 1.1,4D78A08DD5148ABF7987B13018F2DF459A3B08C027A58F66C3570595939336C0
Version 2.051 Issued on 21-09-2022,155,Current,Gas Smart Meter,1015,09B3,37,00,09B33700,10030A08,"SMETS V2.0 ",GBCS Version 1.1,70CBB231E5054038EF8D196FE5DDC2DAE4260FC9BA3AAE7146B05FF54453855B
Version 2.051 Issued on 21-09-2022,156,Current,Pre-Payment Interface Device,10E0,0008,8,00,00080800,00010501,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,157,Current,Gas Smart Meter,1063,4772,1,01,47720101,03034247,SMETS V2.0,GBCS Version 1.1,5C82F36E97C75A1FD6301F7CAC2FE1622F38B89A016B8B6649CB729E04BE568A
Version 2.051 Issued on 21-09-2022,158,Current,Gas Smart Meter,106C,10F2,NaN,00,10F2A100,01089800,SMETS V2.0,GBCS Version 1.1,C48956C775188B41D181DCA62ECEBCFF96689A39A00FB5D2DBE1454045571E19
Version 2.051 Issued on 21-09-2022,159,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00050325,"SMETS V2.0 ","GBCS Version 1.1  ",2D7873EDCDECBB449ABCE71C5AF69F550BEC22FFDCFFCD4EC2526BFDA8D340B6
Version 2.051 Issued on 21-09-2022,160,Current,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00050400,"SMETS V2.0 ","GBCS Version 1.1  ",95FFD8FFCC8580432B32C37CF8FFF29593DD4FE0E710E63E756925A46CDC1D18
Version 2.051 Issued on 21-09-2022,161,Current,Single Element Electricity Metering Equipment,118F,0000,1,00,00000100,00050400,"SMETS V2.0 ","GBCS Version 1.1  ",03EB303C160C5534D6B3FCFE48F19395BFD698DC5ECCD15C8B0EE902E3752B7E
Version 2.051 Issued on 21-09-2022,162,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,04020000,SMETS V2.0,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,163,Current,Single Element Electricity Metering Equipment,1063,0005,2,02,00050202,38030702,SMETS V2.0,GBCS Version 1.1,4254183BED07D9D8EFBA8089EB6ACD3F55245DCD00430F0A9B194942B7CA492F
Version 2.051 Issued on 21-09-2022,164,Current,Single Element Electricity Metering Equipment,118F,0000,1,00,00000100,00060200,"SMETS V2.0 ","GBCS Version 1.1  ",1B31576C953950B2359C3ABBAF271ACF466C9B3D99F0643823000930C09943EE
Version 2.051 Issued on 21-09-2022,165,Current,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,000503FF,"SMETS V2.0 ","GBCS Version 1.1  ",2D7873EDCDECBB449ABCE71C5AF69F550BEC22FFDCFFCD4EC2526BFDA8D340B6
Version 2.051 Issued on 21-09-2022,166,Current,Gas Smart Meter,1192,1111,11,11,11111111,019200B5,SMETS V2.0,GBCS Version 1.1,88B0AFE11C8F04B979B9F71B7B16D040F6E78C8EB4B08306BB9762081AF03760
Version 2.051 Issued on 21-09-2022,167,Current,Gas Smart Meter,1192,1111,12,11,11111211,019200B5,SMETS V2.0,GBCS Version 1.1,88B0AFE11C8F04B979B9F71B7B16D040F6E78C8EB4B08306BB9762081AF03760
Version 2.051 Issued on 21-09-2022,168,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,0105A400,"SMETS V2.0 ","GBCS Version 1.1 ",D6292C19204D4A7CFB7A4818131F88AC5EEA11010F132FEE8024A564BA037EEB
Version 2.051 Issued on 21-09-2022,169,Current,Gas Smart Meter,1057,0575,1,01,05750101,00020209,"SMETS V2.0 ","GBCS Version 1.1  ",40B97FEC5E1E2846CF24EFC2A0C9E2CB5634F866693BAB9FEE894C52EC75369E
Version 2.051 Issued on 21-09-2022,170,Current,Communications Hub,1086,5531,4,00,55310400,0C150000,CHTS V1.1,GBCS Version 2.0,B0D3B2E101A00075774C6CFFC9440DAE1B07C1791ED5B532F643F020F5B23112
Version 2.051 Issued on 21-09-2022,171,Current,Communications Hub,1086,5532,4,00,55320400,0C150000,CHTS V1.1,GBCS Version 2.0,B0D3B2E101A00075774C6CFFC9440DAE1B07C1791ED5B532F643F020F5B23112
Version 2.051 Issued on 21-09-2022,172,Current,Communications Hub,1086,5534,4,00,55340400,0C150000,CHTS V1.1,GBCS Version 2.0,B0D3B2E101A00075774C6CFFC9440DAE1B07C1791ED5B532F643F020F5B23112
Version 2.051 Issued on 21-09-2022,173,Current,Pre-Payment Interface Device,10E0,0008,8,00,00080800,00010600,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,174,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,803B0000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,175,Current,Gas Smart Meter,106C,10F2,NaN,00,10F2A100,0108A500,SMETS V2.0,GBCS Version 1.1,135A6B3C700F10BF81F01365CB8F59FFB52D522193AF9F711A3D5F45DE8DF268
Version 2.051 Issued on 21-09-2022,176,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,0105A500,"SMETS V2.0 ","GBCS Version 1.1 ",AC0992FDEEBC08A0E086F268F71066C4F5D530C6D69A2EB704884888A893BB0D
Version 2.051 Issued on 21-09-2022,177,Current,Gas Smart Meter,1057,0575,1,01,05750101,0002020B,SMETS V2.0,GBCS Version 1.1,12C083E3C7A0BDB11B9573D9F312486C672FE76F0BA6787F84BCF01B744BD850
Version 2.051 Issued on 21-09-2022,178,Current,Pre-Payment Interface Device,10E0,0008,8,00,00080800,00020200,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,179,Current,Pre-Payment Interface Device,10E0,0008,8,00,00080800,00020101,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,180,Current,Pre-Payment Interface Device,1090,0008,1,00,00080100,05020000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,181,Current,Pre-Payment Interface Device,1090,0009,1,00,00090100,05020000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,182,Removed,Single Element Electricity Metering Equipment,1125,3132,40,34,31324034,12098614,SMETS V2.0,GBCS Version 1.1,F5756F91EB5013EF64199BF95BA0D5DE6E605E8E45B142A98FF406EED64DC233
Version 2.051 Issued on 21-09-2022,183,Current,Gas Smart Meter,106C,10F2,NaN,00,10F2A100,0108A600,SMETS V2.0,GBCS Version 1.1,FE8859E95833489189D61AF9BACC5B6A30177C81113B9288E437D7666A0A6E82
Version 2.051 Issued on 21-09-2022,184,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,0105A600,"SMETS V2.0 ","GBCS Version 1.1 ",4FADF7B3B5B40F58E563C822142C8F0613A3E78BBABE7CA2BD2AF74220335781
Version 2.051 Issued on 21-09-2022,185,Removed,Single Element Electricity Metering Equipment,1125,3132,41,30,31324130,12098614,SMETS V2.0,GBCS Version 1.1,F5756F91EB5013EF64199BF95BA0D5DE6E605E8E45B142A98FF406EED64DC233
Version 2.051 Issued on 21-09-2022,186,Current,Pre-Payment Interface Device,10E0,0008,8,00,00080800,00020301,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,187,Current,Pre-Payment Interface Device,10E0,0009,6,00,00090600,00000501,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,188,Current,Single Element Electricity Metering Equipment,1057,0000,1,01,00000101,0133EE75,SMETS V2.0,GBCS Version 1.1,0C634F972051D1E323207F657B9CD3ECBCB74422D66029F946D08A380B4A87FC
Version 2.051 Issued on 21-09-2022,189,Current,Single Element Electricity Metering Equipment,1028,D700,1,03,D7000103,045C042C,SMETS V2.0,GBCS Version 1.1,B290C67C752FD44B34F40C6D8FC64B9D5021C57E1CC72916D0BB96D86D8B9383
Version 2.051 Issued on 21-09-2022,190,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B1F0000,CHTS V1.0,GBCS Version 1.1,4229DCAFC87F10F37B05925E1F0FBFA73BA3DFF8242A60D19E0BEB4F57451ACF
Version 2.051 Issued on 21-09-2022,191,Current,Communications Hub,1086,5432,20,52,54322052,0B1F0000,CHTS V1.0,GBCS Version 1.1,4229DCAFC87F10F37B05925E1F0FBFA73BA3DFF8242A60D19E0BEB4F57451ACF
Version 2.051 Issued on 21-09-2022,192,Current,Communications Hub,1086,5434,21,52,54342152,0B1F0000,CHTS V1.0,GBCS Version 1.1,4229DCAFC87F10F37B05925E1F0FBFA73BA3DFF8242A60D19E0BEB4F57451ACF
Version 2.051 Issued on 21-09-2022,193,Current,Pre-Payment Interface Device,10E0,0009,6,00,00090600,00010001,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,194,Current,Single Element Electricity Metering Equipment,1028,D700,1,03,D7000103,045D043B,SMETS V2.0,GBCS Version 1.1,5B92B54BD7F190F1EC9FC6934146B6852468A744321F8DAB74D2C3A98F957CB0
Version 2.051 Issued on 21-09-2022,195,Current,Single Element Electricity Metering Equipment,118F,0000,1,00,00000100,00060202,SMETS V2.0,GBCS Version 1.1,1582988851DE45160123616D4AE39B75CFAECD2E99D5BF296747089FFB6F3B91
Version 2.051 Issued on 21-09-2022,196,Current,Communications Hub,1072,5731,1,00,57310100,02140003,CHTS V1.0,GBCS Version 1.1,DB2BF5BE4F282810301EBDBFE21B3A70A17AE7224B18CA9776EEE595F58318AE
Version 2.051 Issued on 21-09-2022,197,Current,Single Element Electricity Metering Equipment,1125,3132,41,30,31324130,12099416,SMETS V2.0,GBCS Version 1.1,D95187D0364B252641DFF95A8D0779A567F7E0FFE9380E08337277FDE9239958
Version 2.051 Issued on 21-09-2022,198,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24031000,SMETS V2.0,GBCS Version 1.1,0EF0E750723E20B50725C2922014F13EA09E76D7D03C7F081F37FCF00246BBA9
Version 2.051 Issued on 21-09-2022,199,Current,Single Element Electricity Metering Equipment,1063,0005,2,02,00050202,38031000,SMETS V2.0,GBCS Version 1.1,C37D9983540BB589CC3951B700B95E5E5FC4075D127324222DA7DF7B8E7C2D42
Version 2.051 Issued on 21-09-2022,200,Current,Communications Hub,1072,5731,1,01,57310101,02130003,CHTS V1.0,GBCS Version 1.1,E6C2C011E4351C85E607F1B5288F43A926E60F27B27447C8407E99CDDF32D268
Version 2.051 Issued on 21-09-2022,201,Current,Single Element Electricity Metering Equipment,118F,0000,1,00,00000100,00060400,SMETS V3.1,GBCS Version 2.1,6717EDB2891CCFCBA493A190506E221EC7D4043DAF37D4BB68F5A6EFDA929E52
Version 2.051 Issued on 21-09-2022,202,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,04040000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,203,Current,Pre-Payment Interface Device,1090,0009,1,00,00090100,05030000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,204,Current,Pre-Payment Interface Device,10E0,000B,1,00,000B0100,00010000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,205,Current,Gas Smart Meter,1063,4772,1,01,47720101,03033249,SMETS V2.0,GBCS Version 1.1,04A927E4D2A6CB0CEE9F098B38D24D25097984D70270F3F26F7E015B9828F2B7
Version 2.051 Issued on 21-09-2022,206,Current,Pre-Payment Interface Device,10E0,0009,6,00,00090600,00010100,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,207,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,0105A800,SMETS V2.0,GBCS Version 1.1,84DC8B9EE3FB749DE9E6102B7765BAED9D35BC8318A04376B3FCD6D64FDD6486
Version 2.051 Issued on 21-09-2022,208,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,04030000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,209,Current,Single Element Electricity Metering Equipment,118F,0000,1,00,00000100,00060408,SMETS V3.1,GBCS Version 2.1,F935FA4568649C95DCCAAACA034198595B923EA60C0B187831A882204575992D
Version 2.051 Issued on 21-09-2022,210,Current,Single Element Electricity Metering Equipment,106C,10E2,NaN,00,10E2A100,0105A800,SMETS V2.0,GBCS Version 1.1,84DC8B9EE3FB749DE9E6102B7765BAED9D35BC8318A04376B3FCD6D64FDD6486
Version 2.051 Issued on 21-09-2022,211,Current,Pre-Payment Interface Device,1090,0006,2,00,00060200,31110900,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,212,Current,Single Element Electricity Metering Equipment,1063,0003,2,02,00030202,24031000,SMETS V2.0,GBCS Version 1.1,0EF0E750723E20B50725C2922014F13EA09E76D7D03C7F081F37FCF00246BBA9
Version 2.051 Issued on 21-09-2022,213,Current,Single Element Electricity Metering Equipment,1063,0003,2,02,00030202,24031002,SMETS V2.0,GBCS Version 1.1,BFB93741F23A05C6632D16211E1B61A9417B21AD5FA1B019E5415D6CBC6AA1C3
Version 2.051 Issued on 21-09-2022,214,Current,Single Element Electricity Metering Equipment,118F,0000,1,07,00000107,00060408,SMETS V3.1,GBCS Version 2.1,F935FA4568649C95DCCAAACA034198595B923EA60C0B187831A882204575992D
Version 2.051 Issued on 21-09-2022,215,Current,Gas Smart Meter,1063,4772,1,01,47720101,03034249,SMETS V2.0,GBCS Version 1.1,85C7A02ACA8119CD880AA85ECA48F1598DD0380A17B0463B401675533DCC7AFF
Version 2.051 Issued on 21-09-2022,216,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,0105A900,SMETS V2.0,GBCS Version 1.1,387DBAC2552AF5AFC05425EBB7C9687823E517043945558909AE61E5186F2292
Version 2.051 Issued on 21-09-2022,217,Current,Gas Smart Meter,106C,10F2,NaN,00,10F2A100,0108A900,SMETS V2.0,GBCS Version 1.1,8C3A36C21326FD2EC18DF9B65A2DB39A2DC8D07014B00F0ADE81BEEDDE1DCE95
Version 2.051 Issued on 21-09-2022,218,Current,Single Element Electricity Metering Equipment,106C,10E2,NaN,00,10E2A100,0105A900,SMETS V2.0,GBCS Version 1.1,387DBAC2552AF5AFC05425EBB7C9687823E517043945558909AE61E5186F2292
Version 2.051 Issued on 21-09-2022,219,Current,Single Element Electricity Metering Equipment,1125,3132,41,31,31324131,12099416,SMETS V2.0,GBCS Version 1.1,D95187D0364B252641DFF95A8D0779A567F7E0FFE9380E08337277FDE9239958
Version 2.051 Issued on 21-09-2022,220,Current,Gas Smart Meter,1028,2000,0,00,20000000,029210D6,SMETS V1.2,GBCS Version 0.0,
Version 2.051 Issued on 21-09-2022,221,Current,Communications Hub,1028,0410,1,05,04100105,03335337,SMETS V1.2,GBCS Version 0.0,
Version 2.051 Issued on 21-09-2022,222,Current,Single Element Electricity Metering Equipment,1028,5678,2,01,56780201,03465317,SMETS V1.2,GBCS Version 0.0,
Version 2.051 Issued on 21-09-2022,223,Current,Pre-Payment Interface Device,1090,0003,1,00,00030100,1031090F,SMETS V1.2,GBCS Version 0.0,
Version 2.051 Issued on 21-09-2022,224,Current,Pre-Payment Interface Device,10E0,000B,1,00,000B0100,00010300,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,225,Current,Pre-Payment Interface Device,1090,0003,1,00,00030100,10310915,SMETS V1.2,GBCS Version 0.0,A96FBA4876F3D35ED8418779BC8FC0AEE75AC6F0D460688E54DEFF4898A506B3
Version 2.051 Issued on 21-09-2022,226,Current,Pre-Payment Interface Device,10E0,0009,6,00,00090600,00010200,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,227,Current,Communications Hub,106C,4331,0,AD,433100AD,1270B8CC,CHTS V1.0,GBCS Version 1.1,F01239E26A4F1848F25C0723BDE36A4C0BE48CA27A221906E2F94CDE16043F3D
Version 2.051 Issued on 21-09-2022,228,Current,Pre-Payment Interface Device,10E0,0008,8,00,00080800,00020400,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,229,Current,Single Element Electricity Metering Equipment,1063,0005,2,03,00050203,38031002,SMETS V2.0,GBCS Version 1.1,057DDDDB68432990B0A7625100B2054EC501C0066DB52E556D6D6E48846D3748
Version 2.051 Issued on 21-09-2022,230,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24031100,SMETS V2.0,GBCS Version 1.1,D915BEA202256A911DB9C0FB3DEACB3BB00872318A2746506ADB1FCCAED6E084
Version 2.051 Issued on 21-09-2022,231,Current,Single Element Electricity Metering Equipment,1063,0003,2,02,00030202,24031100,SMETS V2.0,GBCS Version 1.1,D915BEA202256A911DB9C0FB3DEACB3BB00872318A2746506ADB1FCCAED6E084
Version 2.051 Issued on 21-09-2022,232,Current,Communications Hub,1072,5731,1,00,57310100,030A0001,CHTS V1.1,GBCS Version 2.1,2B57F83FD187C1E4D96E7D56DDE1DECEAC647B4C30F04D26398B4E81012B6891
Version 2.051 Issued on 21-09-2022,233,Current,Communications Hub,1072,5731,1,01,57310101,030A0001,CHTS V1.1,GBCS Version 2.1,2B57F83FD187C1E4D96E7D56DDE1DECEAC647B4C30F04D26398B4E81012B6891
Version 2.051 Issued on 21-09-2022,234,Current,Communications Hub,1072,5731,1,02,57310102,030A0001,CHTS V1.1,GBCS Version 2.1,58C7A9F9708D4CF3780B395003A49283FF5FE63C9EABD0E5A341B5B05730287F
Version 2.051 Issued on 21-09-2022,235,Current,Single Element Electricity Metering Equipment,106C,10E2,NaN,00,10E2A100,0105AA00,SMETS V2.0,GBCS Version 1.1,0BC5526A2C932203B8482C25A8A17D4C8F0AE0F8446AEE8A647F916916E2156D
Version 2.051 Issued on 21-09-2022,236,Current,Single Element Electricity Metering Equipment,1028,D700,1,03,D7000103,0499045C,SMETS V2.0,GBCS Version 1.1,74C583331A0D4BE9177838C9A1B89B458D7E94F62B2127B06A5EF45B35DFA78B
Version 2.051 Issued on 21-09-2022,237,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,80430000,SMETS V2.0,GBCS Version 1.1,
Version 2.051 Issued on 21-09-2022,238,Current,Pre-Payment Interface Device,10E0,0009,6,00,00090600,00010301,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,239,Current,Single Element Electricity Metering Equipment,1063,0005,2,02,00050202,38031100,SMETS V2.0,GBCS Version 1.1,5C0F9FA69A43532FC2DAF5571454B4032314F881419AEC0494720FE59DAEC167
Version 2.051 Issued on 21-09-2022,240,Current,Single Element Electricity Metering Equipment,1063,0005,2,03,00050203,38031100,SMETS V2.0,GBCS Version 1.1,5C0F9FA69A43532FC2DAF5571454B4032314F881419AEC0494720FE59DAEC167
Version 2.051 Issued on 21-09-2022,241,Current,Gas Smart Meter,1192,1111,11,11,11111111,01A900C0,SMETS V2.0,GBCS Version 1.1,4C5B1C421601265975A24DF26596C8A1D09698C3127B8BEFD9E467C19F66B0D3
